1,A1,Team Alpha,82,1
2,A2,The Mo's,38,4
3,A3,Team Brownies,46,3
4,A4,BlueGroup,72,1
5,A5,A5 New,23,4
6,B1,Sayes,66,1
7,B2,The Problem Solvers,70,1
8,B3,Bees Three,63,2
9,B4,4 Guys,62,3
10,B5,B5 New,14,4
11,C1,Super Fun Computer Association,87,1
12,C2,Oranange Untied,59,3
13,C3,Cartographers,66,2
14,C4,Team Missing,49,3
15,C5,C5 New,5,4
16,D1,Hungover Crew,62,2
17,D2,Team Mates,54,4
18,D3,DDD,48,3
19,D4,Keyboard Warriors,41,4
20,D5,D5 New,34,4
21,E1,Echo Wun,70,2
22,E2,Five Guys,45,3
23,E3,The Paper Plates ,67,2
24,E4,Mango,63,2
25,E5,E5 New,16,4
26,F1,Power Puff Girls,59,3
27,F2,AKHEM,74,1
28,F3,Space Raiderz,70,1
29,F5,Stars,67,2
30,G1,Top G's,69,1
31,G2,UCLan Geo,66,2
32,G3,Spice Girls,61,3
33,G4,Gold,38,4
34,G5,G5 Extra-New,0,4
